Connecting to: https://ezfccfypwmuvbpujkqrg.supabase.co
Unique UserIDs found in data: {'10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6'}

--- APIARIES ---
Apiary: Kibwezi Main Apiary | ID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6 | Status: None
Hive: KIB-H110 | ID: d5331c94-7874-425e-90c9-cfa4394b02e8 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H111 | ID: de5a7a74-6b98-4f61-ac48-2280d19dfb66 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H112 | ID: fd4d89b5-3b38-4515-bc34-3931a117ea7a | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H113 | ID: bfb4a818-ef82-46f4-89c8-5bae0b65467a | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H114 | ID: 2aaeac83-8ae3-4b5f-9a35-1888b21e4aae | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H115 | ID: cafde4a1-4c8d-45ec-8a55-5807dd8200ae | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H116 | ID: 00536e0f-570d-4cbf-9354-549441bd0407 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H117 | ID: 3c632c8a-56a8-4efe-9fb9-91d2680ed1bd | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H118 | ID: 0ace5c6b-7921-4089-b319-9d4996b78244 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H119 | ID: a524f23b-d286-4bfb-a5d5-8e43ac798461 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H120 | ID: a16834c3-3985-4bbc-ac57-afb318c5e545 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H121 | ID: 2ba9f778-9467-424b-8a7d-7303e32814e0 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H122 | ID: a0e6ea92-4cf6-4e47-9f0b-decefdde10f9 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H123 | ID: e4a1a48d-58e4-4ab4-bd4b-1ffe1d7b75f8 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H124 | ID: 7f500e23-3ae2-4588-a6a8-5504002e3e22 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H125 | ID: fb099b66-a029-4d74-8b1e-62c95109446b | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H126 | ID: cbfec36b-3ec8-47bc-9d5f-28bf1dc19fda | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H127 | ID: f4b2a449-4c3f-4b5c-9e0c-b5909e98d84e | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H128 | ID: 1bf2f6ef-b751-4c8a-96d6-4bd3c220f507 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H129 | ID: ed5c8625-a5cc-45de-bc42-eca1d2394f27 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H130 | ID: ba98ef6c-4cc9-4951-9253-8bc1dac648a8 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H131 | ID: 968913d4-a6cf-4625-9d10-e7f6507c04e9 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H132 | ID: 5e91378a-e1e6-4e01-a04b-58a668e0bb1b | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H133 | ID: dc2d3240-b165-446b-ab8e-490c2c806374 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
